
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server
  2026-06-19 23:08:18 /api/v1/node/resolver/config ............... ~ 505.62ms
  2026-06-19 23:08:24 /api/v1/internal/geodns/health-view .......... ~ 0.14ms
  2026-06-19 23:08:39 /api/v1/internal/geodns/health-view ........ ~ 504.63ms
  2026-06-19 23:08:48 /api/v1/node/resolver/config ................. ~ 0.35ms
  2026-06-19 23:08:48 /api/v1/node/nodes/heartbeat ................. ~ 0.49ms
  2026-06-19 23:08:54 /api/v1/internal/geodns/health-view .......... ~ 0.09ms
  2026-06-19 23:09:09 /api/v1/internal/geodns/health-view .......... ~ 0.40ms
  2026-06-19 23:09:18 /api/v1/node/resolver/config ............... ~ 502.59ms
  2026-06-19 23:09:18 /api/v1/node/nodes/heartbeat ............... ~ 502.72ms
  2026-06-19 23:09:24 /api/v1/internal/geodns/health-view .......... ~ 0.72ms
  2026-06-19 23:09:36 /api/v1/admin/member-catalogs ................ ~ 1.00ms
  2026-06-19 23:09:36 /api/v1/admin/member-catalogs .............. ~ 504.47ms
  2026-06-19 23:09:36 /api/v1/admin/member-rules ................. ~ 504.58ms
  2026-06-19 23:09:36 /api/v1/admin/member-rules ................. ~ 504.65ms
  2026-06-19 23:09:39 /api/v1/internal/geodns/health-view .......... ~ 0.12ms
  2026-06-19 23:09:48 /api/v1/node/nodes/heartbeat ................. ~ 0.28ms
  2026-06-19 23:09:48 /api/v1/node/resolver/config ................. ~ 0.44ms
  2026-06-19 23:09:50 /api/v1/admin/member-catalogs ................ ~ 0.25ms
  2026-06-19 23:09:50 /api/v1/admin/member-rules ................. ~ 504.23ms
  2026-06-19 23:09:50 /api/v1/admin/menu-config .................. ~ 504.03ms
  2026-06-19 23:09:54 /api/v1/internal/geodns/health-view .......... ~ 0.08ms
  2026-06-19 23:10:09 /api/v1/internal/geodns/health-view .......... ~ 0.69ms
  2026-06-19 23:10:18 /api/v1/node/resolver/config ................. ~ 0.76ms
  2026-06-19 23:10:18 /api/v1/node/nodes/heartbeat ................. ~ 1.01ms
  2026-06-19 23:10:24 /api/v1/internal/geodns/health-view .......... ~ 0.50ms
  2026-06-19 23:10:39 /api/v1/internal/geodns/health-view .......... ~ 1.43ms
